index,date,open,high,low,close,volume
0,"2014/10/30, 17:00:00",97.85,97.85,97.85,97.85,0.0
1,"2014/11/02, 17:00:00",97.835,97.835,97.835,97.835,0.0
2,"2014/11/03, 17:00:00",97.845,97.845,97.845,97.845,0.0
3,"2014/11/04, 17:00:00",97.825,97.825,97.825,97.825,0.0
4,"2014/11/05, 17:00:00",97.815,97.815,97.815,97.815,0.0
5,"2014/11/06, 17:00:00",97.905,97.905,97.905,97.905,0.0
6,"2014/11/09, 17:00:00",97.86,97.86,97.86,97.86,0.0
7,"2014/11/10, 17:00:00",97.85,97.85,97.85,97.85,0.0
8,"2014/11/11, 17:00:00",97.85,97.85,97.85,97.85,0.0
9,"2014/11/12, 17:00:00",97.885,97.885,97.885,97.885,0.0
10,"2014/11/13, 17:00:00",97.9,97.9,97.9,97.9,0.0
11,"2014/11/16, 17:00:00",97.88,97.88,97.88,97.88,0.0
12,"2014/11/17, 17:00:00",97.885,97.885,97.885,97.885,0.0
13,"2014/11/18, 17:00:00",97.895,97.895,97.895,97.895,0.0
14,"2014/11/19, 17:00:00",97.915,97.915,97.915,97.915,0.0
15,"2014/11/20, 17:00:00",97.93,97.93,97.93,97.93,0.0
16,"2014/11/23, 17:00:00",97.94,97.94,97.94,97.94,0.0
17,"2014/11/24, 17:00:00",97.975,97.975,97.975,97.975,0.0
18,"2014/11/25, 17:00:00",98.0,98.0,98.0,98.0,0.0
19,"2014/11/26, 17:00:00",98.055,98.055,98.055,98.055,0.0
20,"2014/11/30, 17:00:00",98.045,98.045,98.045,98.045,0.0
21,"2014/12/01, 17:00:00",97.98,97.98,97.98,97.98,0.0
22,"2014/12/02, 17:00:00",97.94,97.94,97.94,97.94,0.0
23,"2014/12/03, 17:00:00",97.965,97.965,97.965,97.965,0.0
24,"2014/12/04, 17:00:00",97.845,97.845,97.845,97.845,0.0
25,"2014/12/07, 17:00:00",97.845,97.845,97.845,97.845,0.0
26,"2014/12/08, 17:00:00",97.9,97.9,97.9,97.9,0.0
27,"2014/12/09, 17:00:00",97.985,97.985,97.985,97.985,0.0
28,"2014/12/10, 17:00:00",97.95,97.95,97.95,97.95,0.0
29,"2014/12/11, 17:00:00",98.04,98.04,98.04,98.04,0.0
30,"2014/12/14, 17:00:00",98.0,98.0,98.0,98.0,0.0
31,"2014/12/15, 17:00:00",98.065,98.065,98.065,98.065,0.0
32,"2014/12/16, 17:00:00",97.96,97.96,97.96,97.96,0.0
33,"2014/12/17, 17:00:00",97.93,97.93,97.93,97.93,0.0
34,"2014/12/18, 17:00:00",97.92,97.92,97.92,97.92,0.0
35,"2014/12/21, 17:00:00",97.91,97.91,97.91,97.91,0.0
36,"2014/12/22, 17:00:00",97.855,97.855,97.855,97.855,0.0
37,"2014/12/23, 17:00:00",97.845,97.845,97.845,97.845,0.0
38,"2014/12/25, 17:00:00",97.845,97.845,97.845,97.845,0.0
39,"2014/12/28, 17:00:00",97.9,97.9,97.9,97.9,0.0
40,"2014/12/29, 17:00:00",97.925,97.925,97.925,97.925,0.0
41,"2014/12/30, 17:00:00",97.96,97.96,97.96,97.96,0.0
42,"2015/01/01, 17:00:00",98.005,98.005,98.005,98.005,0.0
43,"2015/01/04, 17:00:00",98.055,98.055,98.055,98.055,0.0
44,"2015/01/05, 17:00:00",98.16,98.16,98.16,98.16,0.0
45,"2015/01/06, 17:00:00",98.185,98.185,98.185,98.185,0.0
46,"2015/01/07, 17:00:00",98.175,98.175,98.175,98.175,0.0
47,"2015/01/08, 17:00:00",98.24,98.24,98.24,98.24,0.0
48,"2015/01/11, 17:00:00",98.3,98.3,98.3,98.3,0.0
49,"2015/01/12, 17:00:00",98.35,98.35,98.35,98.35,0.0
50,"2015/01/13, 17:00:00",98.435,98.435,98.435,98.435,0.0
51,"2015/01/14, 17:00:00",98.525,98.525,98.525,98.525,0.0
52,"2015/01/15, 17:00:00",98.46,98.46,98.46,98.46,0.0
53,"2015/01/18, 17:00:00",98.43,98.43,98.43,98.43,0.0
54,"2015/01/20, 17:00:00",98.385,98.385,98.385,98.385,0.0
55,"2015/01/21, 17:00:00",98.325,98.325,98.325,98.325,0.0
56,"2015/01/22, 17:00:00",98.365,98.365,98.365,98.365,0.0
57,"2015/01/25, 17:00:00",98.345,98.345,98.345,98.345,0.0
58,"2015/01/26, 17:00:00",98.36,98.36,98.36,98.36,0.0
59,"2015/01/27, 17:00:00",98.465,98.465,98.465,98.465,0.0
60,"2015/01/28, 17:00:00",98.455,98.455,98.455,98.455,0.0
61,"2015/01/29, 17:00:00",98.555,98.555,98.555,98.555,0.0
62,"2015/02/01, 17:00:00",98.57,98.57,98.57,98.57,0.0
63,"2015/02/02, 17:00:00",98.465,98.465,98.465,98.465,0.0
64,"2015/02/03, 17:00:00",98.445,98.445,98.445,98.445,0.0
65,"2015/02/04, 17:00:00",98.43,98.43,98.43,98.43,0.0
66,"2015/02/05, 17:00:00",98.23,98.23,98.23,98.23,0.0
67,"2015/02/08, 17:00:00",98.195,98.195,98.195,98.195,0.0
68,"2015/02/09, 17:00:00",98.165,98.165,98.165,98.165,0.0
69,"2015/02/10, 17:00:00",98.18,98.18,98.18,98.18,0.0
70,"2015/02/11, 17:00:00",98.22,98.22,98.22,98.22,0.0
71,"2015/02/12, 17:00:00",98.21,98.21,98.21,98.21,0.0
72,"2015/02/15, 17:00:00",98.095,98.095,98.095,98.095,0.0
73,"2015/02/17, 17:00:00",98.185,98.185,98.185,98.185,0.0
74,"2015/02/18, 17:00:00",98.14,98.14,98.14,98.14,0.0
75,"2015/02/19, 17:00:00",98.095,98.095,98.095,98.095,0.0
76,"2015/02/22, 17:00:00",98.145,98.145,98.145,98.145,0.0
77,"2015/02/23, 17:00:00",98.255,98.255,98.255,98.255,0.0
78,"2015/02/24, 17:00:00",98.25,98.25,98.25,98.25,0.0
79,"2015/02/25, 17:00:00",98.2,98.2,98.2,98.2,0.0
