index,date,open,high,low,close,volume
0,"2006/08/31, 17:00:00",95.03,95.03,95.03,95.03,0.0
1,"2006/09/04, 17:00:00",95.02,95.02,95.02,95.02,0.0
2,"2006/09/05, 17:00:00",95.0,95.0,95.0,95.0,0.0
3,"2006/09/06, 17:00:00",94.995,94.995,94.995,94.995,0.0
4,"2006/09/07, 17:00:00",95.0,95.0,95.0,95.0,0.0
5,"2006/09/10, 17:00:00",94.975,94.975,94.975,94.975,0.0
6,"2006/09/11, 17:00:00",94.98,94.98,94.98,94.98,0.0
7,"2006/09/12, 17:00:00",94.99,94.99,94.99,94.99,0.0
8,"2006/09/13, 17:00:00",94.975,94.975,94.975,94.975,0.0
9,"2006/09/14, 17:00:00",94.95,94.95,94.95,94.95,0.0
10,"2006/09/17, 17:00:00",94.935,94.935,94.935,94.935,0.0
11,"2006/09/18, 17:00:00",94.98,94.98,94.98,94.98,0.0
12,"2006/09/19, 17:00:00",94.945,94.945,94.945,94.945,0.0
13,"2006/09/20, 17:00:00",95.135,95.135,95.135,95.135,0.0
14,"2006/09/21, 17:00:00",95.165,95.165,95.165,95.165,0.0
15,"2006/09/24, 17:00:00",95.195,95.195,95.195,95.195,0.0
16,"2006/09/25, 17:00:00",95.17,95.17,95.17,95.17,0.0
17,"2006/09/26, 17:00:00",95.195,95.195,95.195,95.195,0.0
18,"2006/09/27, 17:00:00",95.145,95.145,95.145,95.145,0.0
19,"2006/09/28, 17:00:00",95.37,95.37,95.37,95.37,0.0
20,"2006/10/01, 17:00:00",95.15,95.15,95.15,95.15,0.0
21,"2006/10/02, 17:00:00",95.15,95.15,95.15,95.15,0.0
22,"2006/10/03, 17:00:00",95.19,95.19,95.19,95.19,0.0
23,"2006/10/04, 17:00:00",95.15,95.15,95.15,95.15,0.0
24,"2006/10/05, 17:00:00",95.09,95.09,95.09,95.09,0.0
25,"2006/10/08, 17:00:00",95.09,95.09,95.09,95.09,0.0
26,"2006/10/09, 17:00:00",95.04,95.04,95.04,95.04,0.0
27,"2006/10/10, 17:00:00",95.015,95.015,95.015,95.015,0.0
28,"2006/10/11, 17:00:00",95.015,95.015,95.015,95.015,0.0
29,"2006/10/12, 17:00:00",94.94,94.94,94.94,94.94,0.0
30,"2006/10/15, 17:00:00",94.95,94.95,94.95,94.95,0.0
31,"2006/10/16, 17:00:00",94.965,94.965,94.965,94.965,0.0
32,"2006/10/17, 17:00:00",94.97,94.97,94.97,94.97,0.0
33,"2006/10/18, 17:00:00",94.95,94.95,94.95,94.95,0.0
34,"2006/10/19, 17:00:00",94.94,94.94,94.94,94.94,0.0
35,"2006/10/22, 17:00:00",94.9,94.9,94.9,94.9,0.0
36,"2006/10/23, 17:00:00",94.92,94.92,94.92,94.92,0.0
37,"2006/10/24, 17:00:00",94.965,94.965,94.965,94.965,0.0
38,"2006/10/25, 17:00:00",95.04,95.04,95.04,95.04,0.0
39,"2006/10/26, 17:00:00",95.25,95.25,95.25,95.25,0.0
40,"2006/10/29, 18:00:00",95.255,95.255,95.255,95.255,0.0
41,"2006/10/30, 18:00:00",95.335,95.335,95.335,95.335,0.0
42,"2006/10/31, 18:00:00",95.41,95.41,95.41,95.41,0.0
43,"2006/11/01, 18:00:00",95.38,95.38,95.38,95.38,0.0
44,"2006/11/02, 18:00:00",95.165,95.165,95.165,95.165,0.0
45,"2006/11/05, 17:00:00",95.16,95.16,95.16,95.16,0.0
46,"2006/11/06, 17:00:00",95.24,95.24,95.24,95.24,0.0
47,"2006/11/07, 17:00:00",95.275,95.275,95.275,95.275,0.0
48,"2006/11/08, 17:00:00",95.275,95.275,95.275,95.275,0.0
49,"2006/11/09, 17:00:00",95.31,95.31,95.31,95.31,0.0
50,"2006/11/12, 17:00:00",95.285,95.285,95.285,95.285,0.0
51,"2006/11/13, 17:00:00",95.325,95.325,95.325,95.325,0.0
52,"2006/11/14, 17:00:00",95.24,95.24,95.24,95.24,0.0
53,"2006/11/15, 17:00:00",95.22,95.22,95.22,95.22,0.0
54,"2006/11/16, 17:00:00",95.28,95.28,95.28,95.28,0.0
55,"2006/11/19, 17:00:00",95.29,95.29,95.29,95.29,0.0
56,"2006/11/20, 17:00:00",95.29,95.29,95.29,95.29,0.0
57,"2006/11/21, 17:00:00",95.3,95.3,95.3,95.3,0.0
58,"2006/11/22, 17:00:00",95.3,95.3,95.3,95.3,0.0
59,"2006/11/23, 17:00:00",95.315,95.315,95.315,95.315,0.0
60,"2006/11/26, 17:00:00",95.32,95.32,95.32,95.32,0.0
61,"2006/11/27, 17:00:00",95.37,95.37,95.37,95.37,0.0
62,"2006/11/28, 17:00:00",95.35,95.35,95.35,95.35,0.0
63,"2006/11/29, 17:00:00",95.425,95.425,95.425,95.425,0.0
