index,date,open,high,low,close,volume
0,"2007/12/02, 17:00:00",96.86,96.86,96.86,96.86,0.0
1,"2007/12/03, 17:00:00",96.875,96.875,96.875,96.875,0.0
2,"2007/12/04, 17:00:00",96.87,96.87,96.87,96.87,0.0
3,"2007/12/05, 17:00:00",96.8,96.8,96.8,96.8,0.0
4,"2007/12/06, 17:00:00",96.68,96.68,96.68,96.68,0.0
5,"2007/12/09, 17:00:00",96.605,96.605,96.605,96.605,0.0
6,"2007/12/10, 17:00:00",96.725,96.725,96.725,96.725,0.0
7,"2007/12/11, 17:00:00",96.755,96.755,96.755,96.755,0.0
8,"2007/12/12, 17:00:00",96.715,96.715,96.715,96.715,0.0
9,"2007/12/13, 17:00:00",96.62,96.62,96.62,96.62,0.0
10,"2007/12/16, 17:00:00",96.625,96.625,96.625,96.625,0.0
11,"2007/12/17, 17:00:00",96.675,96.675,96.675,96.675,0.0
12,"2007/12/18, 17:00:00",96.74,96.74,96.74,96.74,0.0
13,"2007/12/19, 17:00:00",96.835,96.835,96.835,96.835,0.0
14,"2007/12/20, 17:00:00",96.745,96.745,96.745,96.745,0.0
15,"2007/12/23, 17:00:00",96.725,96.725,96.725,96.725,0.0
16,"2007/12/25, 17:00:00",96.71,96.71,96.71,96.71,0.0
17,"2007/12/26, 17:00:00",96.71,96.71,96.71,96.71,0.0
18,"2007/12/27, 17:00:00",96.755,96.755,96.755,96.755,0.0
19,"2007/12/30, 17:00:00",96.81,96.81,96.81,96.81,0.0
20,"2008/01/01, 17:00:00",96.965,96.965,96.965,96.965,0.0
21,"2008/01/02, 17:00:00",97.015,97.015,97.015,97.015,0.0
22,"2008/01/03, 17:00:00",97.17,97.17,97.17,97.17,0.0
23,"2008/01/06, 17:00:00",97.14,97.14,97.14,97.14,0.0
24,"2008/01/07, 17:00:00",97.16,97.16,97.16,97.16,0.0
25,"2008/01/08, 17:00:00",97.26,97.26,97.26,97.26,0.0
26,"2008/01/09, 17:00:00",97.305,97.305,97.305,97.305,0.0
27,"2008/01/10, 17:00:00",97.4,97.4,97.4,97.4,0.0
28,"2008/01/13, 17:00:00",97.435,97.435,97.435,97.435,0.0
29,"2008/01/14, 17:00:00",97.385,97.385,97.385,97.385,0.0
30,"2008/01/15, 17:00:00",97.38,97.38,97.38,97.38,0.0
31,"2008/01/16, 17:00:00",97.5,97.5,97.5,97.5,0.0
32,"2008/01/17, 17:00:00",97.625,97.625,97.625,97.625,0.0
33,"2008/01/21, 17:00:00",97.91,97.91,97.91,97.91,0.0
34,"2008/01/22, 17:00:00",97.95,97.95,97.95,97.95,0.0
35,"2008/01/23, 17:00:00",97.7,97.7,97.7,97.7,0.0
36,"2008/01/24, 17:00:00",97.71,97.71,97.71,97.71,0.0
37,"2008/01/27, 17:00:00",97.76,97.76,97.76,97.76,0.0
38,"2008/01/28, 17:00:00",97.645,97.645,97.645,97.645,0.0
39,"2008/01/29, 17:00:00",97.69,97.69,97.69,97.69,0.0
40,"2008/01/30, 17:00:00",97.76,97.76,97.76,97.76,0.0
41,"2008/01/31, 17:00:00",97.785,97.785,97.785,97.785,0.0
42,"2008/02/03, 17:00:00",97.805,97.805,97.805,97.805,0.0
43,"2008/02/04, 17:00:00",97.9,97.9,97.9,97.9,0.0
44,"2008/02/05, 17:00:00",97.975,97.975,97.975,97.975,0.0
45,"2008/02/06, 17:00:00",97.945,97.945,97.945,97.945,0.0
46,"2008/02/07, 17:00:00",97.975,97.975,97.975,97.975,0.0
47,"2008/02/10, 17:00:00",97.995,97.995,97.995,97.995,0.0
48,"2008/02/11, 17:00:00",97.985,97.985,97.985,97.985,0.0
49,"2008/02/12, 17:00:00",98.025,98.025,98.025,98.025,0.0
50,"2008/02/13, 17:00:00",98.025,98.025,98.025,98.025,0.0
51,"2008/02/14, 17:00:00",98.055,98.055,98.055,98.055,0.0
52,"2008/02/18, 17:00:00",97.755,97.755,97.755,97.755,0.0
53,"2008/02/19, 17:00:00",97.41,97.41,97.41,97.41,0.0
54,"2008/02/20, 17:00:00",97.57,97.57,97.57,97.57,0.0
55,"2008/02/24, 17:00:00",97.46,97.46,97.46,97.46,0.0
56,"2008/02/25, 17:00:00",97.57,97.57,97.57,97.57,0.0
57,"2008/02/26, 17:00:00",97.645,97.645,97.645,97.645,0.0
58,"2008/02/27, 17:00:00",97.725,97.725,97.725,97.725,0.0
59,"2008/02/28, 17:00:00",97.98,97.98,97.98,97.98,0.0
60,"2008/03/02, 17:00:00",97.965,97.965,97.965,97.965,0.0
61,"2008/03/03, 17:00:00",97.985,97.985,97.985,97.985,0.0
62,"2008/03/04, 17:00:00",97.855,97.855,97.855,97.855,0.0
63,"2008/03/05, 17:00:00",97.9,97.9,97.9,97.9,0.0
64,"2008/03/06, 17:00:00",97.96,97.96,97.96,97.96,0.0
65,"2008/03/09, 17:00:00",98.01,98.01,98.01,98.01,0.0
66,"2008/03/10, 17:00:00",97.805,97.805,97.805,97.805,0.0
67,"2008/03/11, 17:00:00",97.925,97.925,97.925,97.925,0.0
68,"2008/03/12, 17:00:00",97.98,97.98,97.98,97.98,0.0
69,"2008/03/13, 17:00:00",98.21,98.21,98.21,98.21,0.0
70,"2008/03/16, 17:00:00",98.36,98.36,98.36,98.36,0.0
71,"2008/03/17, 17:00:00",98.15,98.15,98.15,98.15,0.0
72,"2008/03/18, 17:00:00",98.205,98.205,98.205,98.205,0.0
73,"2008/03/19, 17:00:00",98.115,98.115,98.115,98.115,0.0
74,"2008/03/23, 17:00:00",97.885,97.885,97.885,97.885,0.0
75,"2008/03/24, 17:00:00",97.925,97.925,97.925,97.925,0.0
76,"2008/03/25, 17:00:00",97.96,97.96,97.96,97.96,0.0
77,"2008/03/26, 17:00:00",97.98,97.98,97.98,97.98,0.0
78,"2008/03/27, 17:00:00",97.99,97.99,97.99,97.99,0.0
79,"2008/03/30, 17:00:00",98.06,98.06,98.06,98.06,0.0
80,"2008/03/31, 17:00:00",97.815,97.815,97.815,97.815,0.0
81,"2008/04/01, 17:00:00",97.65,97.65,97.65,97.65,0.0
82,"2008/04/02, 17:00:00",97.605,97.605,97.605,97.605,0.0
83,"2008/04/03, 17:00:00",97.74,97.74,97.74,97.74,0.0
